ano,cbo2002,empregados,renda_sm
1986,262115,1036,8929.51
1986,262120,17,73.81
1986,262205,3,58
1986,262215,102,1513.56
1986,262220,20,117.25
1986,262405,24151,79626.76
1986,262410,48235,393074.04
1986,262505,934,6696.7
1986,262605,15,27.68
1986,262610,2268,8821.18
1986,262615,2236,10962.45
1986,262705,183,571.69
1986,262810,233,708.66
1986,262815,151,317.39
1986,263105,1223,3660.93
1986,263110,80,268.41
1986,300305,12372,112422.67
1986,301105,24180,164316.16
1986,301110,2786,15779.96
1986,301115,1164,14351.06
1986,311105,5603,53075.13
1986,311110,146,1479.78
1986,311115,21221,51460.4
1986,311205,998,16133.42
1986,311305,236,1812.44
1986,311405,47898,149089.31
1986,311410,99173,250947.2
1986,311510,332,1302.22
1986,311515,7,31.51
1986,311605,708,8512.49
1986,311610,122,1755.57
1986,311615,271,2914.97
1986,311620,93,777.49
1986,311625,40090,105878.18
1986,311705,21724,50627.44
1986,311710,1344821,2933316.45
1986,311715,6,37.59
1986,311725,17804,31600.51
1986,312105,26490,167300.2
1986,312205,1450,8546.95
1986,312210,1637,10409.7
1986,312305,9984,75762.34
1986,312315,119,1110.94
1986,312320,8035,51861.52
1986,313105,12230,130978.63
1986,313120,3755,41644.68
1986,313125,1,7.07
1986,313205,6337,69024.69
1986,313210,19079,90923.38
1986,313215,34660,228235.42
1986,313305,20916,121481.77
1986,313310,17837,92710.21
1986,313315,10867,110898.6
1986,313320,2,15.53
1986,313415,60,114.88
1986,313505,1,9.32
1986,314110,11760,131804.45
1986,314115,1037,5063.54
1986,314120,3087,31019.21
1986,314125,431,4009.68
1986,314305,2307,15013.11
1986,314310,495,5542.69
1986,314315,308,2961.5
1986,314615,10432,38594.5
1986,314620,5949,64131.37
1986,314710,1,4.02
1986,314715,28,110.76
1986,314720,1,1
1986,314725,1,4.53
1986,314730,15,67.92
1986,316110,691,8550.42
1986,316305,1310,12871.36
1986,316310,552,14122.52
1986,316335,4,20
1986,316340,121,1982.26
1986,317110,24181,219929.45
1986,317115,176,643.99
1986,317205,21046,160105.76
1986,318005,13115,86730.62
1986,318010,4925,24613.7
1986,318015,18939,209814.62
1986,318105,983,7249.43
1986,318110,381,1707.68
1986,318115,2096,10678.81
1986,318120,61,405.43
1986,318205,3663,30191.23
1986,318210,401,4751.4
1986,318215,338,2748.55
1986,318305,15749,49238.35
1986,318310,234,1326.45
1986,318405,1358,7181.83
1986,318410,97,930.23
1986,318415,374,3460.9
1986,318420,505,3027.13
1986,318425,189,835.59
1986,318430,92,564.62
1986,318810,71502,131903.72
1986,318815,796,6950.56
1986,321105,11937,69416.1
1986,321110,3850,22542.35
1986,321210,18868,29515.69
1986,321305,61,592.07
1986,321310,322,628.84
1986,322105,12,37.08
1986,322115,49,164.83
1986,322120,1051,2289.07
1986,322225,803,2197.41
1986,322230,71904,226459.09
1986,322235,3,9.68
1986,322305,776,2298.63
1986,322410,601,1306.51
1986,322505,923,1783.59
1986,323105,505,2363.03
1986,324105,228,536.95
1986,324110,4871,16237.29
1986,324115,5723,23447.44
1986,324205,6030,24337.05
1986,324210,2181,8370.77
1986,325110,13635,36053.31
1986,325115,8,49.39
1986,325205,59725,113399.14
1986,328105,6,23.24
1986,328110,14,50.42
1986,341105,396,6833.04
1986,341115,97,1369.86
1986,341215,358,1619.3
1986,341220,241,1452.9
1986,341225,2150,5419.85
1986,341230,808,3175.79
1986,342105,465567,1580685.64
1986,342120,3,13.5
1986,342210,325,1509.79
1986,342305,8452,46825.02
1986,342310,2155,10104.31
1986,342405,17718,101827.71
1986,342410,1787,13304.59
1986,342505,32049,94260.26
1986,342510,42,316.39
1986,342515,240,990.98
1986,342520,158,2365.35
1986,342605,694,6091.45
1986,342610,512,2378.39
1986,351105,40894,272124.01
1986,351110,70737,651186.53
1986,351305,3718,23505
1986,351310,13,30.26
1986,351315,22118,167197.6
1986,351410,2863,21571.67
1986,351425,316338,1542009.71
1986,351430,2839,12573.08
1986,351505,112229,511653.97
1986,351510,342,1989.26
1986,351605,11706,92927.92
1986,351710,4,32.19
1986,351715,6,24.79
1986,351725,20,120.39
1986,351730,887,6326.89
1986,351740,4575,45907.94
1986,351805,30,104.93
1986,351810,5123,41018.66
1986,351815,66784,314949.45
1986,352205,647,1846.86
1986,352210,25560,66054.21
1986,352305,689,3860.02
1986,352410,236,6950.31
1986,353225,65,236.83
1986,353230,3,4.55
1986,354110,9663,109312.55
1986,354120,2328,14253.95
1986,354125,55,268.8
1986,354135,8255,101091.58
1986,354145,34706,320961.33
1986,354205,16682,143079.49
1986,354210,3117,39274.05
1986,354305,162,331.56
1986,354405,91,512.12
1986,354410,92,805.73
1986,354415,936,5374.6
1986,354505,4393,26103.75
1986,354605,501,2887.72
1986,354705,1080,11376.73
1986,354805,76291,155000.85
1986,354810,4581,40802.52
1986,354815,12430,31130
1986,371105,3066,8214.68
1986,371305,77,418.05
1986,371310,13,50.62
1986,372105,19,264.93
1986,372115,1389,9464.42
1986,372205,1603,8684.66
1986,372210,19640,78766.75
1986,373110,7018,24359.82
1986,373115,1027,2238.82
1986,373205,1868,8937.63
1986,373220,332,1248.92
1986,374105,513,1905.44
1986,374120,318,942.66
1986,374125,683,2088.23
1986,374210,569,2216.29
1986,374305,51988,239580.31
1986,374420,5873,21794.98
1986,375105,404,1568.35
1986,375110,987,3819.87
1986,376205,1,3.25
1986,376215,48,118.05
1986,376235,2,3.61
1986,376245,11,35.96
1986,376255,4,15.72
1986,376305,104,495.33
1986,376405,6800,16779
1986,376410,171,477.82
1986,377105,814,6686.72
1986,377110,1308,7617.3
1986,377130,4,10.32
1986,377135,5,42.52
1986,377145,1,9.82
1986,377205,26,70.28
1986,391105,4029,26815.96
1986,391110,1638,10829.22
1986,391115,1,4.57
1986,391120,54,220.58
1986,391125,34,149.06
1986,391135,2,7.55
1986,391205,453913,1858783.87
1986,391220,61,313.28
1986,391225,8,26.78
1986,410105,63911,683597.53
1986,410205,9687,68958.04
1986,410210,490,6553.81
1986,410215,22,62.78
1986,410220,1774,13176.45
1986,410225,8905,74872.7
1986,410230,1807,23670.24
1986,410235,9780,75829.12
1986,411005,1059427,2625622.41
1986,411010,242316,1373955.01
1986,411030,2446,6892.5
1986,411035,3346,10841.48
1986,411040,413,837.36
1986,411045,7645,54369.06
1986,412105,46418,118013.39
1986,412110,55999,221924.91
1986,412115,6839,23308.43
1986,412120,2035,7200.48
1986,412205,124301,295618.28
1986,413105,3086,16246.3
1986,413110,192007,631778.83
1986,413115,14900,49560.89
1986,413210,77329,505240.85
1986,413225,306446,2077067.78
1986,413230,7562,38149.21
1986,414105,188109,650684.95
1986,414110,35389,111265.83
1986,414115,6726,24917.69
1986,414205,15399,50318.14
1986,414210,16978,64063.42
1986,415105,6168,19555.51
1986,415115,8793,36825.22
1986,415120,28,78.5
1986,415125,7705,21562.42
1986,415130,3796,12766.74
1986,415205,36702,92207.44
1986,415210,7231,19470.62
1986,420135,43838,133211.85
1986,421105,6567,16768.47
1986,421115,1024,1704.3
1986,421120,7278,19283.92
1986,421125,28619,49381.56
1986,421205,2249,2634.46
1986,421210,925,3207.43
1986,421305,12260,37282.4
1986,422105,60997,133141.8
1986,422110,10269,16244.77
1986,422115,6,13.13
1986,422120,5515,13088.94
