ano,cbo2002,empregados
2006,122510,41
2007,122510,56
2008,122510,52
2009,122510,61
2010,122510,69
2011,122510,71
2012,122510,77
2013,122510,77
2014,122510,107
2015,122510,96
2016,122510,101
1986,122515,4
1987,122515,4
1988,122515,4
1989,122515,4
1990,122515,5
1991,122515,4
1992,122515,4
1993,122515,4
1994,122515,4
1995,122515,4
1996,122515,4
1997,122515,3
1998,122515,3
1999,122515,3
2000,122515,5
2001,122515,5
2002,122515,5
2003,122515,123
2004,122515,126
2005,122515,181
2006,122515,173
2007,122515,184
2008,122515,120
2009,122515,146
2010,122515,166
2011,122515,176
2012,122515,159
2013,122515,219
2014,122515,226
2015,122515,226
2016,122515,162
2012,122520,46
2013,122520,93
2014,122520,149
2015,122520,202
2016,122520,212
2003,122605,36
2004,122605,80
2005,122605,60
2006,122605,63
2007,122605,54
2008,122605,53
2009,122605,47
2010,122605,67
2011,122605,71
2012,122605,63
2013,122605,95
2014,122605,112
2015,122605,230
2016,122605,97
2003,122610,178
2004,122610,146
2005,122610,160
2006,122610,167
2007,122610,204
2008,122610,206
2009,122610,223
2010,122610,227
2011,122610,231
2012,122610,224
2013,122610,231
2014,122610,257
2015,122610,268
2016,122610,256
2003,122615,3454
2004,122615,2901
2005,122615,2480
2006,122615,2025
2007,122615,1810
2008,122615,1713
2009,122615,1344
2010,122615,1331
2011,122615,1378
2012,122615,1291
2013,122615,1366
2014,122615,1306
2015,122615,1218
2016,122615,1165
2003,122620,262
2004,122620,343
2005,122620,462
2006,122620,494
2007,122620,570
2008,122620,560
2009,122620,685
2010,122620,647
2011,122620,786
2012,122620,761
2013,122620,907
2014,122620,946
2015,122620,958
2016,122620,793
1986,122705,5
1987,122705,5
1988,122705,3
1989,122705,4
1990,122705,4
1991,122705,3
1992,122705,2
1993,122705,3
1994,122705,3
1995,122705,3
1996,122705,2
1997,122705,2
1998,122705,1
1999,122705,1
2000,122705,1
2001,122705,1
2002,122705,1
2003,122705,423
2004,122705,390
2005,122705,460
2006,122705,547
2007,122705,510
2008,122705,544
2009,122705,566
2010,122705,796
2011,122705,803
2012,122705,711
2013,122705,700
2014,122705,674
2015,122705,668
2016,122705,562
2003,122710,206
2004,122710,230
2005,122710,320
2006,122710,229
2007,122710,351
2008,122710,317
2009,122710,374
2010,122710,357
2011,122710,399
