"CBO2002";"code";"job_zone"
"372210";"29-1124.00";"3"
"373220";"47-1011.00";"3"
"374105";"27-4014.00";"3"
"374120";"27-1022.00";"3"
"374125";"17-3031.01";"3"
"374210";"27-4032.00";"3"
"374305";"43-9011.00";"3"
"374420";"27-3041.00";"3"
"376405";"";"1"
"376410";"27-1022.00";"1"
"376415";"41-3011.00";"1"
"395105";"";"3"
"412110";"";"2"
"412120";"51-9199.01";"2"
"414205";"";"3"
"414210";"51-9198.00";"3"
"414215";"51-9195.07";"3"
"421205";"";"2"
"421210";"";"2"
"422315";"53-7111.00";"2"
"510110";"15-1199.03";"2"
"510115";"39-1012.00";"2"
"511205";"53-6061.00";"2"
"511210";"43-5011.01";"2"
"511215";"";"2"
"511220";"";"2"
"511405";"39-7012.00";"3"
"512105";"19-4093.00";"2"
"512110";"45-4011.00";"2"
"512115";"11-3051.04";"2"
"513105";"43-4021.00";"2"
"513110";"43-3071.00";"2"
"513115";"49-9031.00";"2"
"514105";"35-3022.01";"2"
"514110";"35-3022.01";"2"
"514115";"35-3022.01";"2"
"514120";"";"2"
"514205";"";"2"
"516410";"51-6051.00";"1"
"516415";"";"1"
"516610";"35-3022.01";"2"
"517205";"33-3051.01";"3"
"517210";"";"3"
"517215";"33-2011.01";"3"
"517220";"41-3041.00";"3"
"517310";"11-9199.07";"3"
"517325";"";"3"
"519110";"19-2031.00";"2"
"519205";"53-7081.00";"2"
"519920";"27-2042.01";"2"
"519940";"15-2011.00";"2"
"524105";"31-1011.00";"2"
"524210";"";"2"
"524305";"51-3011.00";"2"
"711120";"";"2"
"711405";"47-2121.00";"2"
"711410";"15-2031.00";"2"
"712105";"43-4151.00";"2"
"712110";"27-4013.00";"2"
"712115";"";"2"
"712120";"";"2"
"712130";"";"2"
"712135";"47-2072.00";"2"
"715105";"43-9011.00";"2"
"715110";"43-9011.00";"2"
"715115";"27-4013.00";"2"
"715120";"51-6031.00";"2"
"715125";"47-4011.00";"2"
"715130";"53-5022.00";"2"
"715135";"51-8091.00";"2"
"715140";"";"2"
"715145";"51-8011.00";"2"
"715305";"51-9197.00";"2"
"715310";"47-2051.00";"2"
"715315";"";"2"
"715505";"47-2031.02";"2"
"715510";"47-2031.02";"2"
"715515";"47-2031.02";"2"
"715520";"47-2031.02";"2"
"715525";"47-2031.01";"2"
"715530";"47-2031.02";"2"
"715535";"47-2031.01";"2"
"715540";"";"2"
"715705";"";"2"
"715710";"";"2"
"715715";"";"2"
"715720";"53-7061.00";"2"
"715725";"";"2"
"715730";"";"2"
"716105";"47-2043.00";"2"
"716110";"51-9195.05";"2"
"716205";"51-6021.00";"2"
"716210";"43-3021.01";"2"
"716215";"43-3021.01";"2"
"716220";"43-5041.00";"2"
"716305";"47-2121.00";"2"
"716310";"47-2121.00";"2"
"716315";"47-2121.00";"2"
"716505";"";"2"
"716510";"17-2041.00";"2"
"716515";"41-2011.00";"2"
"716520";"47-2043.00";"2"
