Usuario,CBO_5D,Prob
PaMaTa,762215,80.9
PaMaTa,911305,80.9
PaMaTa,841815,80.9
PaMaTa,773325,80.9
PaMaTa,222115,80.9
PaMaTa,776405,80.9
PaMaTa,261205,80.9
PaMaTa,715540,80.9
PaMaTa,862115,80.9
PaMaTa,773215,80.9
PaMaTa,351515,80.9
PaMaTa,762305,80.9
PaMaTa,421115,80.9
PaMaTa,715720,80.9
PaMaTa,913105,80.9
PaMaTa,841630,80.9
PaMaTa,377135,100
PaMaTa,862510,100
PaMaTa,811630,100
PaMaTa,773130,100
PaMaTa,524310,45
PaMaTa,631420,74.1
PaMaTa,721415,89.2
PaMaTa,232155,45.7
PaMaTa,915405,45.7
PaMaTa,234515,67.3
PaMaTa,915105,82
PaMaTa,213110,64.4
PaMaTa,514205,87.8
CaEmTodeOl,715120,50
CaEmTodeOl,773355,71.2
CaEmTodeOl,341120,80.6
CaEmTodeOl,773405,70.9
CaEmTodeOl,239410,90.3
CaEmTodeOl,791110,50.7
CaEmTodeOl,420135,90.3
CaEmTodeOl,262505,61.2
CaEmTodeOl,622510,90.7
CaEmTodeOl,742130,90.7
CaEmTodeOl,261110,90.7
CaEmTodeOl,241205,60.8
CaEmTodeOl,203215,60.8
CaEmTodeOl,234815,39.2
CaEmTodeOl,351510,69.4
CaEmTodeOl,761410,85.6
CaEmTodeOl,715205,95.3
CaEmTodeOl,354405,95.3
CaEmTodeOl,951105,60
CaEmTodeOl,841205,49.6
CaEmTodeOl,741105,96.4
CaEmTodeOl,225125,80.6
CaEmTodeOl,372105,80.6
CaEmTodeOl,612715,39.6
CaEmTodeOl,241225,89.6
CaEmTodeOl,622105,89.6
CaEmTodeOl,214225,95.4
CaEmTodeOl,234644,39.3
CaEmTodeOl,262115,70.2
CaEmTodeOl,783105,39.6
CaEmTodeOl,622210,89.6
CaEmTodeOl,223208,89.6
CaEmTodeOl,711245,59
CaEmTodeOl,354135,96.4
CaEmTodeOl,211110,96.4
CaEmTodeOl,513420,96.4
CaEmTodeOl,752405,96.4
CaEmTodeOl,770110,70.5
CaEmTodeOl,318410,70.5
CaEmTodeOl,225105,30.2
CaEmTodeOl,782320,90.6
CaEmTodeOl,261140,94.6
CaEmTodeOl,422210,94.6
CaEmTodeOl,612705,85.2
CaEmTodeOl,122105,85.2
CaEmTodeOl,422210,85.2
CaEmTodeOl,201220,85.2
CaEmTodeOl,724310,94.9
CaEmTodeOl,831120,94.9
CaEmTodeOl,761333,94.9
CaEmTodeOl,31105,49.9
CaEmTodeOl,730105,79.4
CaEmTodeOl,716405,86.2
CaEmTodeOl,214750,86.2
CaEmTodeOl,374405,40.2
CaEmTodeOl,761255,79.4
CaEmTodeOl,811105,85.5
CaEmTodeOl,225142,95.2
CaEmTodeOl,214325,65
CaEmTodeOl,20105,65
CaEmTodeOl,223815,90.2
CaEmTodeOl,251505,90.2
CaEmTodeOl,811115,90.2
CaEmTodeOl,311505,68.3
CaEmTodeOl,822115,94.6
CaEmTodeOl,141615,79.5
CaEmTodeOl,234604,95
CaEmTodeOl,722405,95
CaEmTodeOl,252310,49.7
CaEmTodeOl,821430,85.7
CaEmTodeOl,762340,85.7
CaEmTodeOl,231325,80.7
CaEmTodeOl,720105,89.3
CaEmTodeOl,223232,50.5
CaEmTodeOl,224130,95.8
CaEmTodeOl,715220,79.6
CaEmTodeOl,951320,79.6
CaEmTodeOl,761435,79.6
CaEmTodeOl,142515,39.7
CaEmTodeOl,333105,75
CaEmTodeOl,142415,95.1
CaEmTodeOl,722115,80.7
CaEmTodeOl,241035,86.1
CaEmTodeOl,631015,60.6
CaEmTodeOl,332205,81.1
CaEmTodeOl,214435,90.1
CaEmTodeOl,515325,50.2
CaEmTodeOl,910130,50.2
CaEmTodeOl,424210,95.2
CaEmTodeOl,223510,79.7
CaEmTodeOl,213310,91.2
CaEmTodeOl,352205,54.5
CaEmTodeOl,233215,74.6
CaEmTodeOl,862115,90.1
CaEmTodeOl,776420,65.3
CaEmTodeOl,517225,84.4
CaEmTodeOl,354605,90.2
CaEmTodeOl,724305,79.8
CaEmTodeOl,223635,65.8
CaEmTodeOl,234435,50.7
CaEmTodeOl,226110,80.2
CaEmTodeOl,766105,89.6
CaEmTodeOl,862160,89.6
CaEmTodeOl,251205,64.4
CaEmTodeOl,377130,59.4
CaEmTodeOl,334105,85.7
CaEmTodeOl,731325,85.7
CaEmTodeOl,763120,90.7
CaEmTodeOl,783105,90.7
CaEmTodeOl,752315,90.7
CaEmTodeOl,761430,90.7
CaEmTodeOl,261215,59
CaEmTodeOl,377245,91
CaEmTodeOl,711235,91
CaEmTodeOl,612315,55.4
CaEmTodeOl,354210,80.6
CaEmTodeOl,314110,70.9
CaEmTodeOl,848105,70.9
CaEmTodeOl,766125,95.7
CaEmTodeOl,766155,59.7
CaEmTodeOl,752315,96
CaEmTodeOl,848520,80.5
CaEmTodeOl,215130,69
CaEmTodeOl,723315,79.4
CaEmTodeOl,422320,90.9
CaEmTodeOl,214705,40.2
CaEmTodeOl,841468,95.6
CaEmTodeOl,253305,69
CaEmTodeOl,313210,69
CaEmTodeOl,211215,90.9
CaEmTodeOl,122750,90.9
CaEmTodeOl,141405,79.7
CaEmTodeOl,341310,79.7
CaEmTodeOl,203305,70
CaEmTodeOl,122715,89.1
CaEmTodeOl,225250,89.1
CaEmTodeOl,612105,89.1
CaEmTodeOl,519105,79
CaEmTodeOl,716210,70
CaEmTodeOl,516110,50.9
CaEmTodeOl,214105,44.8
CaEmTodeOl,761354,90.8
CaEmTodeOl,914425,71
CaEmTodeOl,262830,71
CaEmTodeOl,223276,61.3
CaEmTodeOl,763215,94
CaEmTodeOl,203410,60.5
CaEmTodeOl,833205,94
CaEmTodeOl,223445,69.5
CaEmTodeOl,514310,60.1
CaEmTodeOl,725225,83.8
CaEmTodeOl,223630,69.4
CaEmTodeOl,711315,89.9
CaEmTodeOl,254305,79.5
CaEmTodeOl,516610,60.4
CaEmTodeOl,731320,60.4
CaEmTodeOl,762315,90.3
CaEmTodeOl,377120,40.3
CaEmTodeOl,613310,80.9
CaEmTodeOl,233225,85.2
CaEmTodeOl,242405,60
CaEmTodeOl,331110,78.7
CaEmTodeOl,842215,84.5
