Nome,Bolsista,Doutorado,Professor
Emanuel Rocha Woiski ,NA,"Doutorado em Engenharia Mecânica pelo Imperial College Of Science And Technology, Inglaterra(1988)","PROFESSOR ASSISTENTE DOUTOR da Universidade Estadual Paulista Júlio de Mesquita Filho , Brasil"
Alex Sandro Roschildt Pinto ,NA,"Doutorado em Engenharia Elétrica pela Universidade Federal de Santa Catarina, Brasil(2010)","Professor Adjunto I da Universidade Federal de Santa Catarina , Brasil"
Otávio Augusto Bizetto Penatti ,NA,"Doutorado em Ciência da Computação pela Universidade Estadual de Campinas, Brasil(2012)",NA
Alneu de Andrade Lopes ,Bolsista de Produtividade em Pesquisa 2 | Orientador de Mestrado | Orientador de Doutorado,"Doutorado em Ciências da Computação pela Universidade do Porto, Portugal(2001)",NA
Romulo Guedes Cerqueira ,NA,NA,NA
Edson Caoru Kitani ,NA,"Doutorado em Engenharia Elétrica pela Escola Politécnica da Universidade de São Paulo, Brasil(2013)",NA
Thales Miranda de Almeida Vieira ,NA,"Doutorado em Matemática pela Pontifícia Universidade Católica do Rio de Janeiro, Brasil(2010)","Professor do Magistério Superior da Universidade Federal de Alagoas , Brasil"
Newton Spolaôr ,NA,"Doutorado em Ciências da Computação e Matemática Computacional pela Universidade de São Paulo, Brasil(2014)","Professor contratado por prazo determinado da Universidade Estadual do Oeste do Paraná , Brasil"
José Augusto Baranauskas ,NA,"Doutorado em Ciências da Computação e Matemática Computacional pela Universidade de São Paulo, Brasil(2001)","Professor doutor da Universidade de São Paulo , Brasil"
Magali Teresinha Longhi ,NA,"Doutorado em Informática na Educação pela Universidade Federal do Rio Grande do Sul, Brasil(2011)",NA
Sildomar Takahashi Monteiro ,NA,"Doutorado em Mechano-Micro Engineering pelo Tokyo Institute of Technology, Japão(2007)","Professor Assistente do Rochester Institute of Technology , Estados Unidos"
Merley da Silva Conrado ,NA,"Doutorado em Ciências da Computação e Matemática Computacional pela Universidade de São Paulo, Brasil(2014)",NA
Douglas Adriano Augusto ,NA,"Doutorado em Eng. Civil, Sis. Computacionais (conceito CAPES 7) pela Universidade Federal do Rio de Janeiro, Brasil(2009)",NA
Alencar de Melo Júnior ,NA,"Doutorado em Engenharia Elétrica pela Universidade Estadual de Campinas, Brasil(2009)","Professor do Instituto Federal de São Paulo , Brasil"
Marco Túlio Alves Nolasco Rodrigues ,NA,"Doutorado em Ciências da Computação pela Universidade Federal de Minas Gerais, Brasil(2016)",NA
Hugo Alberto Perlin ,NA,"Doutorado em Engenharia Elétrica e Informática Industrial pela Universidade Tecnológica Federal do Paraná, Brasil(2015)","Professor de En. Basico, Tec. e Tecnológico do Instituto Federal do Paraná , Brasil"
Vinicius Ponte Machado ,NA,"Doutorado em Engenharia Elétrica pela Universidade Federal do Rio Grande do Norte, Brasil(2009)","Professor Assistente III da Universidade Federal do Piauí , Brasil"
Eduardo Bezerra da Silva ,NA,"Doutorado em Engenharia de Sistemas e Computação pela Universidade Federal do Rio de Janeiro, Brasil(2006)","Professor de ensino técnico e tecnológico do Centro Federal de Educação Tecnológica Celso Suckow da Fonseca , Brasil"
Renato Cordeiro de Amorim ,NA,"Doutorado em Computer Science pela Birkbeck, University of London, Inglaterra(2011)",NA
Roberto Souto Maior de Barros ,NA,"Doutorado em PhD in Computing Science pela The University of Glasgow, Grã-Bretanha(1994)","Professor Associado da Universidade Federal de Pernambuco , Brasil"
Daniel Cruz Cavalieri ,NA,"Doutorado em Engenharia Elétrica pela Universidade Federal do Espírito Santo, Brasil(2013)","Professor Efetivo do Instituto Federal do Espírito Santo , Brasil"
Mauricio Amaral de Almeida ,NA,"Doutorado em Engenharia Elétrica pela Universidade de São Paulo, Brasil(1999)","Professor titular do Centro Estadual de Educação Tecnológica Paula Souza , Brasil"
Rommel Melgaço Barbosa ,Bolsista de Produtividade em Pesquisa 2,"Doutorado em Engenharia de Sistemas e Computação pela Universidade Federal do Rio de Janeiro, Brasil(1999)","Professor Associado do Instituto de Informatica-UFG , Brasil"
Katia Silva Guimarães ,NA,"Doutorado em Ph D In Computer Science pela University System of Maryland, Estados Unidos(1992)","Professor Adjunto da Universidade Federal de Pernambuco , Brasil"
Vinícius Humberto Serapilha Durelli ,NA,"Doutorado em Ciências da Computação pela Universidade de São Paulo, Brasil(2013)","Professor Adjunto A da Universidade Federal de São João Del-Rei , Brasil"
Reinaldo Augusto da Costa Bianchi ,NA,"Doutorado em Engenharia Elétrica pela Universidade de São Paulo, Brasil(2004)","Professor Titular da Fundação Educacional Inaciana Padre Sabóia de Medeiros , Brasil"
Tiago Henrique Falk ,NA,"Doutorado em ECE pela Queen's University at Kingston, Canadá(2008)",NA
Carlos da Silva dos Santos ,NA,"Doutorado em Ciências da Computação pela Universidade de São Paulo, Brasil(2010)","Professor Adjunto da Universidade Federal do ABC , Brasil"
Wilson Vicente Ruggiero ,NA,"Doutorado em Computer Science pela Universidade da California Los Angeles, Estados Unidos(1978)","Professor Titular da Universidade de São Paulo , Brasil"
Hilan Nissior Bensusan ,NA,"Doutorado em Cognitive Sciences And Artificial Intelligence pela University Of Sussex, Grã-Bretanha(1999)","Professor Adjunto da Universidade de Brasília , Brasil"
Fernando José Von Zuben ,Bolsista de Produtividade em Pesquisa 1B | Orientador de Doutorado,"Doutorado em Engenharia Elétrica pela Universidade Estadual de Campinas, Brasil(1996)","Professor Titular da Universidade Estadual de Campinas , Brasil"
Gustavo de Assis Costa ,NA,"Doutorado em Engenharia Eletrônica e Computação pelo Instituto Tecnológico de Aeronáutica, Brasil(2015)","Professor Titular do Instituto Federal de Educação, Ciência e Tecnologia de Goiás , Brasil"
Tiago Buarque Assunção de Carvalho ,NA,"Doutorado em Ciências da Computação pela Universidade Federal de Pernambuco, Brasil(2015)","Professor Adjunto 2 da Universidade Federal Rural de Pernambuco , Brasil"
Alex Sandro da Cunha Rêgo ,NA,"Doutorado em Ciência da Computação pela Universidade Federal de Campina Grande, Brasil(2016)","Professor Efetivo do Instituto Federal de Educação, Ciência e Tecnologia da Paraíba , Brasil"
Felipe Rech Meneguzzi ,Bolsista de Produtividade em Pesquisa 2 | Orientador de Mestrado | Orientador de Doutorado,"Doutorado em Computer Science pela University of Southampton, Inglaterra(2009)","Professor Titular da Pontifícia Universidade Católica do Rio Grande do Sul , Brasil"
Sylvio Barbon Júnior ,NA,"Doutorado em Física Aplicada Computacional pela Universidade de São Paulo, Brasil(2011)","Professor Adjunto da Universidade Estadual de Londrina , Brasil"
Cassio Polpo de Campos ,NA,"Doutorado em Engenharia Mecatrônica pela Universidade de São Paulo, Brasil(2005)",NA
Bruno Sielly Jales Costa ,NA,"Doutorado em Pós-Graduação em Eng. Elétrica e de Computação pela Universidade Federal do Rio Grande do Norte, Brasil(2014)",NA
Sarajane Marques Peres ,NA,"Doutorado em Engenharia Elétrica pela Universidade Estadual de Campinas, Brasil(2006)","Professor Associado (MS5.1) da Universidade de São Paulo , Brasil"
Hugo Fuks ,NA,"Doutorado em Computing pelo Imperial College London - South Kensington Campus, Inglaterra(1991)",NA
Ricardo Araújo Rios ,NA,"Doutorado em Ciência da Computação e Matemática Computacional pela Universidade de São Paulo, Brasil(2013)","Professor Adjunto A da Universidade Federal da Bahia , Brasil"
Pedro Garcia Freitas ,NA,"Doutorado em Informática pela Universidade de Brasília, Brasil(2017)",NA
Antonio Oseas de Carvalho Filho ,NA,"Doutorado em Engenharia de Eletricidade pela Universidade Federal do Maranhão, Brasil(2016)","Professor da Universidade Federal do Piauí , Brasil"
Thiago Valle França ,NA,"Doutorado em Engenharia de Produção pela Universidade de São Paulo, Brasil(2009)","Professor Assistente Doutor da Universidade Estadual Paulista Júlio de Mesquita Filho , Brasil"
Márcio Bastos Castro ,Bolsista de Produtividade em Pesquisa 2 | Orientador de Mestrado | Orientador de Doutorado,"Doutorado em Ciência da Computação (Informatique - MSTII) pelo Université de Grenoble, França(2012)","Professor Adjunto C-1 da Universidade Federal de Santa Catarina , Brasil"
Joao Jose Vasco Peixoto Furtado ,NA,"Doutorado em Informatique pelo Universite d Aix Marseille III, França(1997)",NA
Marcos Augusto Hochuli Shmeil ,NA,"Doutorado em Engenharia Eletrotécnica e de Computadores pela Universidade do Porto, Portugal(1999)","Professor titular da Pontifícia Universidade Católica do Paraná , Brasil"
Marcos Evandro Cintra ,NA,"Doutorado em Ciências da Computação e Matemática Computacional pela Universidade de São Paulo, Brasil(2012)","professor adjunto da Universidade Federal Rural do Semi-Árido , Brasil"
Josefino Cabral MELO LIMA ,NA,"Doutorado em Doctorat en Informatique pelo Université Pierre et Marie Curie (Paris 6), França(1992)","Professor Associado da Universidade Federal do Rio de Janeiro , Brasil"
Jorge Brantes Ferreira ,NA,"Doutorado em Administração de Empresas - Marketing pelo Instituto Coppead de Administração/UFRJ, Brasil(2010)","Professor Assistente da Pontifícia Universidade Católica do Rio de Janeiro , Brasil"
Pollyana Coelho da Silva Notargiacomo ,NA,"Doutorado em Educação pela Universidade de São Paulo, Brasil(2003)",NA
Daniel Guerreiro e Silva ,NA,"Doutorado em Engenharia Elétrica pela Universidade Estadual de Campinas, Brasil(2013)","Professor Adjunto da Universidade de Brasília , Brasil"
Aline de Oliveira Neves Panazio ,NA,"Doutorado em Doutorado em Processamento Digital de Sinais. pelo Université René Descartes, França(2005)","Professor Associado da Universidade Federal do ABC , Brasil"
Paulo Sérgio Lopes de Souza ,NA,"Doutorado em Física Aplicada Opção Em Física Computacional pelo Instituto de Física de São Carlos Usp, Brasil(2000)","Professor Associado do Instituto de Ciências Matemáticas e de Computação Usp São Carlos , Brasil"
Fabio Luiz Bertotti ,NA,"Doutorado em Engenharia Elétrica e Informática Industrial pela Universidade Tecnológica Federal do Paraná, Brasil(2010)","Professor de magistério superior - Adjunto da Universidade Tecnológica Federal do Paraná , Brasil"
Junior Barrera ,NA,"Doutorado em Engenharia Elétrica Sistemas pela Escola Politécnica da Universidade de São Paulo, Brasil(1992)","Professor Titular da Universidade de São Paulo , Brasil"
Claus de Castro Aranha ,NA,"Doutorado em Frontier Informatics pela University of Tokyo, Japão(2010)","Professor Assistente da University of Tsukuba , Japão"
David Daniel e Silva ,NA,"Doutorado em Engenharia de Automação e Sistemas pela Universidade Federal de Santa Catarina, Brasil(2010)","Professor Dedicação Integral da Universidade do Estado de Santa Catarina , Brasil"
Rodolfo Moresco ,NA,"Doutorado em BIOTECNOLOGIA UFSC pela Universidade Federal de Santa Catarina, Brasil(2017)","Professor I da Universidade do Vale do Itajaí , Brasil"
Jonatas Boas Leite ,NA,"Doutorado em Programa de Pos-Graduação em Engenharia Elétrica pela Universidade Estadual Paulista Júlio de Mesquita Filho, Brasil(2015)",NA
Bruno Squizato Faiçal ,NA,"Doutorado em Ciências da Computação e Matemática Computacional pela Universidade de São Paulo, Brasil(2016)","Professor Colaborador da Universidade Estadual do Norte do Paraná , Brasil"
Rafael Chaves Souto Araújo ,Bolsista de Produtividade em Pesquisa 2,"Doutorado em Física pela Universidade Federal do Rio de Janeiro, Brasil(2010)","Professor e Líder de Pesquisa do International Institute of Physics , Brasil"
Mário Henrique de Souza Pardo ,NA,"Doutorado em Doutorado em Ciência da Computação pela Universidade de São Paulo, Brasil(2016)","Professor de Ensino Superior III do Centro Estadual de Educação Tecnológica Paula Souza , Brasil"
Túlio Ângelo Machado Toffolo ,NA,"Doutorado em Ciência da Computação pelo KU Leuven, Bélgica(2017)","Professor Adjunto da Universidade Federal de Ouro Preto , Brasil"
Daniela Mayumi Ushizima ,NA,"Doutorado em Física pela Universidade de São Paulo, Brasil(2004)",NA
Richardson Ribeiro ,NA,"Doutorado em Informática pela Pontifícia Universidade Católica do Paraná, Brasil(2010)","Professor da Universidade Federal do Paraná , Brasil"
Bruno Woltzenlogel Paleo ,NA,"Doutorado em Doktoratstudium der technischen Wissenschaften pelo Technische Universitat Wien, Austria(2009)",NA
Halley Wesley Alexandre Silva Gondim ,NA,"Doutorado em CIÊNCIA DA COMPUTAÇÃO pela Universidade Federal de Goiás, Brasil(2016)",NA
Debora Mendonca Cardador Corrêa da Costa ,NA,"Doutorado em Informática pela Pontifícia Universidade Católica do Rio de Janeiro, Brasil(2014)",NA
Walter Augusto dos Santos Junior ,Bolsista de Programa de Capacitação Institucional DA,"Doutorado em Astronomia pela Universidade de São Paulo, Brasil(2012)",NA
Hugo Cesar Pessotti ,NA,"Doutorado em Doutorado em Ciências Médicas - FMRP-USP pela Universidade de São Paulo, Brasil(2016)",NA
Otávio José Bernardes Brustolini ,NA,"Doutorado em Bioquimica Agricola pela Universidade Federal de Viçosa, Brasil(2014)",NA
Mario Sérgio Adolfi Júnior ,NA,"Doutorado em Medicina (Clínica Médica) pela Universidade de São Paulo, Brasil(2015)",NA
Taiane Schaedler Prass ,NA,"Doutorado em Matemática pela Universidade Federal do Rio Grande do Sul, Brasil(2013)","Professor Adjunto da Universidade Federal de Santa Maria , Brasil"
Bruno Marques Ferreira da Silva ,NA,"Doutorado em Engenharia Elétrica pela Universidade Federal do Rio Grande do Norte, Brasil(2015)","Professor Adjunto da Universidade Federal do Rio Grande do Norte , Brasil"
Renato Garcia ,NA,"Doutorado em Ciências Médicas pela Faculdade de Medicina da Universidade de São Paulo, Brasil(2016)",NA
Marcia Henke ,NA,"Doutorado em Informática pela Universidade Federal do Amazonas, Brasil(2015)","PROFESSOR ADJUNTO da Universidade Federal de Santa Maria , Brasil"
Warley Muricy Valente Junior ,NA,"Doutorado em Programa de Pós-Graduação em Ciência da Computação pela Universidade Federal de Pernambuco, Brasil(2018)",NA
Hader Aguiar Dias Azzini ,Bolsista de Doutorado,"Doutorado em Doutorado em Engenharia Elétrica pela Universidade Estadual de Campinas, Brasil(2017)",NA
Claudio Marques de Sá Medeiros ,NA,"Doutorado em Engenharia de Teleinformática pela Universidade Federal do Ceará, Brasil(2008)","Professor do Instituto Federal do Ceará - Reitoria , Brasil"
Andrey Araujo Masiero ,NA,"Doutorado em Engenharia Elétrica pela Fundação Educacional Inaciana Padre Sabóia de Medeiros, Brasil(2018)","Professor Assistente I da Faculdade de Informática e Administração Paulista , Brasil"
Fabrício Henrique Simozo ,NA,"Doutorado em Física Aplicada à Medicina e Biologia pela Universidade de São Paulo, Brasil(2018)",NA
Adenilton José da Silva ,NA,"Doutorado em Ciências da Computação pela Universidade Federal de Pernambuco, Brasil(2015)","Professor Assistente da Universidade Federal Rural de Pernambuco , Brasil"
Anisio Mendes Lacerda ,Bolsista de Produtividade em Pesquisa 2 | Orientador de Doutorado,"Doutorado em Ciências da Computação pela Universidade Federal de Minas Gerais, Brasil(2013)","Professor Efetivo EBTT do Centro Federal de Educação Tecnológica de Minas Gerais , Brasil"
Alexandre Loureiros Rodrigues ,NA,"Doutorado em Estatística pela Lancaster University, Inglaterra(2010)","Professor da Universidade Federal do Epírito Santo , Brasil"
Leonardo Melo de Medeiros ,NA,"Doutorado em Ciência da Computação pela Universidade Federal de Campina Grande, Brasil(2016)",NA
Alexandre Luís Magalhães Levada ,NA,"Doutorado em Física pela Universidade de São Paulo, Brasil(2010)","Professor Adjunto da Universidade Federal de São Carlos , Brasil"
Gustavo Henrique Paetzold ,NA,"Doutorado em Processamento de Linguagem Natural pela University of Sheffield, Inglaterra(2016)",NA
Marcelo Serrano Zanetti ,NA,"Doutorado em Data Science, Engenharia de Software e Sistemas Complexos pelo Instituto Federal de Tecnologia de Zurique, Suiça(2013)","Professor Magistério Superior da Universidade Federal de Santa Maria , Brasil"
Alcides Calsavara ,NA,"Doutorado em Computer Science pela Newcastle University, Inglaterra(1996)","Professor titular da Pontifícia Universidade Católica do Paraná , Brasil"
José Gilvan Rodrigues Maia ,NA,"Doutorado em Ciência da Computação pela Universidade Federal do Ceará, Brasil(2010)","Professor Efetivo da Universidade Federal do Ceará , Brasil"
Rafael Izbicki ,Bolsista de Produtividade em Pesquisa 2 | Orientador de Doutorado,"Doutorado em Estatística pela Carnegie Mellon University, Estados Unidos(2014)",NA
Cristiane Neri Nobre ,NA,"Doutorado em Bioinformática pela Universidade Federal de Minas Gerais, Brasil(2007)","Professora Adjunto IV da Pontifícia Universidade Católica de Minas Gerais , Brasil"
Wallace Corbo Ugulino ,NA,"Doutorado em Informática pela Pontifícia Universidade Católica do Rio de Janeiro, Brasil(2014)",NA
Eduardo Gade Gusmão ,NA,"Doutorado em Biologia Computacional pela RWTH University Aachen, Alemanha(2016)",NA
Elisandra Aparecida Alves da Silva ,NA,"Doutorado em Sistemas Digitais pela Escola Politécnica da Universidade de São Paulo, Brasil(2011)","Professora do Instituto Federal de São Paulo , Brasil"
Marcelo Luiz Brocardo ,NA,"Doutorado em Electrical & Computer Engineering pela University of Victoria, Canadá(2015)","Professor da Universidade do Estado de Santa Catarina , Brasil"
Marcos Antonio da Cunha Santos ,NA,"Doutorado em Estatística pela Universidade de São Paulo, Brasil(2004)","Professor Adjunto da Universidade Federal de Minas Gerais , Brasil"
Renato Porfirio Ishii ,NA,"Doutorado em Ciências da Computação e Matemática Computacional pela Universidade de São Paulo, Brasil(2010)","Professor Adjunto da Universidade Federal de Mato Grosso do Sul , Brasil"
Maurício José Viana Amorim ,NA,"Doutorado em Informática na Educação pela Universidade Federal do Rio Grande do Sul, Brasil(2012)","PROFESSOR ENS BASICO TECN TECNOLOGICO do Instituto Federal Fluminense , Brasil"
Cristiane Cassiolato Pires Hardoim ,NA,"Doutorado em Ciências Biológicas, especialidade Microbiologia pelo Centro de Ciências do Mar, Universidade do Algarve, Portugal(2014)",NA
Romualdo Alves Pereira Junior ,NA,"Doutorado em Ciências da Informação pela Universidade de Brasília, Brasil(2012)","Professor Convidado da Universidade de Brasília , Brasil"
Natanael Nunes de Moura Junior ,NA,"Doutorado em Engenharia Elétrica pela Universidade Federal do Rio de Janeiro, Brasil(2018)","Professor Substituto da Universidade Federal do Rio de Janeiro , Brasil"
Junia Coutinho Anacleto ,NA,"Doutorado em Física Aplicada São Carlos pela Universidade de São Paulo, Brasil(1996)","Professora Virtual da Universidade Federal de São Carlos , Brasil"
Roberto Hirata Junior ,NA,"Doutorado em Ciências da Computação pela Universidade de São Paulo, Brasil(2001)","Professor Associado da Universidade de São Paulo , Brasil"
Márcio Porto Basgalupp ,Bolsista de Produtividade em Pesquisa 2,"Doutorado em Ciências da Computação e Matemática Computacional pela Universidade de São Paulo, Brasil(2010)",NA
Ana Carolina Lorena ,Bolsista de Produtividade em Pesquisa 2 | Orientador de Mestrado | Orientador de Doutorado,"Doutorado em Ciência da Computação pela Universidade de São Paulo - São Carlos, Brasil(2006)","Professora Associada do Instituto Tecnológico de Aeronáutica , Brasil"
Alexandra Augusta Pereira Klen ,NA,"Doutorado em Engenharia Mecânica pela Universidade Federal de Santa Catarina, Brasil(1996)",NA
Carlos Roberto Lopes ,NA,"Doutorado em Engenharia Elétrica pela Universidade de São Paulo, Brasil(1998)","Professor Associado da Universidade Federal de Uberlândia , Brasil"
Leila Cristina VASCONCELOS DE ANDRADE ,NA,"Doutorado em Engenharia de Sistemas e Computação pela Universidade Federal do Rio de Janeiro, Brasil(2007)","Professora Adjunta da Universidade Federal do Estado do Rio de Janeiro , Brasil"
Tiago Thompsen Primo ,NA,"Doutorado em Computação pela Universidade Federal do Rio Grande do Sul, Brasil(2013)","Professor da Universidade Federal de Pelotas , Brasil"
Leonardo Goliatt da Fonseca ,NA,"Doutorado em Modelagem Computacional pelo Laboratório Nacional de Computação Científica, Brasil(2009)","Professor Adjunto da Universidade Federal de Juiz de Fora , Brasil"
Ricardo Fabbri ,NA,"Doutorado em Computer Engineering pela Brown University, Estados Unidos(2010)","Professor Adjunto da Universidade do Estado do Rio de Janeiro , Brasil"
Jefersson Alex dos Santos ,Bolsista de Produtividade em Pesquisa 2 | Orientador de Mestrado | Orientador de Doutorado,"Doutorado em Ciência da Computação pela Universidade Estadual de Campinas, Brasil(2013)","Professor Auxiliar da Universidade Federal de Minas Gerais , Brasil"
Leonardo Oliveira Moreira ,NA,"Doutorado em Ciências da Computação pela Universidade Federal do Ceará, Brasil(2014)","Professor Adjunto da Universidade Federal do Ceará , Brasil"
Sandra Eliza Fontes de Avila ,NA,"Doutorado em Ciências da Computação pela Universidade Federal de Minas Gerais, Brasil(2013)","Professora Doutora I (MS 3.1) da Universidade Estadual de Campinas , Brasil"
Guilherme Targino Valente ,NA,"Doutorado em Ciencias Biologicas (Genetica) pela Universidade Estadual Paulista Júlio de Mesquita Filho, Brasil(2013)","Professor Assistente Doutor da Universidade Estadual Paulista Júlio de Mesquita Filho , Brasil"
Jose Roberto Boffino de Almeida Monteiro ,NA,"Doutorado em Engenharia Elétrica pela Universidade de São Paulo, Brasil(2002)","Professor da Universidade de São Paulo , Brasil"
Vinicius Consolini Busti ,NA,"Doutorado em ASTRONOMIA (33002010004P5) pela Universidade de São Paulo, Brasil(2013)",NA
Eduardo Raul Hruschka ,NA,"Doutorado em Computação de Alto Desempenho pela Universidade Federal do Rio de Janeiro, Brasil(2001)",NA
Teresa Bernarda Ludermir ,Bolsista de Produtividade em Pesquisa 1A | Orientador de Mestrado | Orientador de Doutorado,"Doutorado em Ciência da Computação pela University Of London Imperial College, Inglaterra(1990)","Professor Tiitular da Universidade Federal de Pernambuco , Brasil"
Ig Ibert Bittencourt Santana Pinto ,Bolsista de Produtividade Desen. Tec. e Extensão Inovadora 2,"Doutorado em Ciência da Computação pela Universidade Federal de Campina Grande, Brasil(2009)","Professor Associado I da Universidade Federal de Alagoas , Brasil"
Francisco Milton Mendes Neto ,NA,"Doutorado em Engenharia Elétrica pela Universidade Federal de Campina Grande, Brasil(2005)","Professor Associado da Universidade Federal Rural do Semi Árido , Brasil"
Antonio de Padua Braga ,Bolsista de Produtividade em Pesquisa 1C | Orientador de Doutorado,"Doutorado em Phd Degree on Electrical Engineering pelo Imperial College London, Grã-Bretanha(1995)","Professor Titular da Universidade Federal de Minas Gerais , Brasil"
Edson Takashi Matsubara ,NA,"Doutorado em Ciências da Computação e Matemática Computacional pela Universidade de São Paulo, Brasil(2008)","Professor Adjunto I da Universidade Federal de Mato Grosso do Sul , Brasil"
Mariana Recamonde Mendoza ,NA,"Doutorado em Computação pela Universidade Federal do Rio Grande do Sul, Brasil(2014)","Professor Adjunto A da Universidade Federal do Rio Grande do Sul , Brasil"
Mauro Copelli Lopes da Silva ,Bolsista de Produtividade em Pesquisa 1D | Orientador de Doutorado,"Doutorado em Fisica pelo Limburgs Universitair Centrum, Bélgica(1999)","Professor Associado 4 da Universidade Federal de Pernambuco , Brasil"
Ricardo da Silva Torres ,Bolsista de Produtividade em Pesquisa 1C(***) | Orientador de Doutorado,"Doutorado em Doutorado Em Ciência de Computação pela Universidade Estadual de Campinas, Brasil(2004)","Professor Doutor da Universidade Estadual de Campinas , Brasil"
Christiane Pousa Ribeiro ,NA,"Doutorado em Ciencia da Computação pelo Université Joseph Fourier - Grenoble I, França(2011)",NA
Filipe Rolim Cordeiro ,NA,"Doutorado em Ciências da Computação pela Universidade Federal de Pernambuco, Brasil(2015)","Professor Adjunto da Universidade Federal Rural de Pernambuco , Brasil"
Isaac de Lima Oliveira Filho ,NA,"Doutorado em Sistemas e Computação pela Universidade Federal do Rio Grande do Norte, Brasil(2014)","Professor Efetivo da Universidade do Estado do Rio Grande do Norte , Brasil"
Levi Henrique Santana de Lelis ,NA,"Doutorado em Computing Science pela University of Alberta, Canadá(2013)","Professor Adjunto A da Universidade Federal de Viçosa , Brasil"
Bernardo Nunes Gonçalves ,NA,"Doutorado em Modelagem Computacional pelo Laboratório Nacional de Computação Científica, Brasil(2015)",NA
Alberto Henrique Frade Laender ,Bolsista de Produtividade em Pesquisa 1A | Orientador de Doutorado,"Doutorado em Ciência da Computação pela University of East Anglia, Inglaterra(1984)","Professor Titular da Universidade Federal de Minas Gerais , Brasil"
Fabio Santos da Silva ,NA,"Doutorado em Ciências - área pela Escola Politécnica da Universidade de São Paulo, Brasil(2011)","Professor Adjunto A da Universidade do Estado do Amazonas , Brasil"
Patrick Marques Ciarelli ,Bolsista de Produtividade em Pesquisa 2,"Doutorado em Engenharia Elétrica pela Universidade Federal do Espírito Santo, Brasil(2012)","Professor de Magistério Superior da Universidade Federal do Espírito Santo , Brasil"
Leandro Balby Marinho ,NA,"Doutorado em Ciencia da Computacao pelo Universität Hildesheim, Alemanha(2010)","Professor Adjunto II da Universidade Federal de Campina Grande , Brasil"
Antonio Wendell de Oliveira Rodrigues ,NA,"Doutorado em Ecole Doctorale Sciences Pour l'Ingénieur pelo Université Lille 1 - Sciences et Technologies, França(2012)","Professor Associado do Instituto Federal do Ceará - Reitoria , Brasil"
Victor Ströele de Andrade Menezes ,NA,"Doutorado em Engenharia de Sistemas e Computação pela Universidade Federal do Rio de Janeiro, Brasil(2012)","Professor Adjunto I da Universidade Federal de Juiz de Fora , Brasil"
André Luís Vasconcelos Coelho ,Bolsista de Produtividade em Pesquisa 2 | Orientador de Doutorado,"Doutorado em Engenharia Elétrica pela Universidade Estadual de Campinas, Brasil(2004)","Professor Titular da Universidade de Fortaleza , Brasil"
Lucas Boeira Michels ,NA,"Doutorado em Engenharia de Minas, Metalúrgica e de Materiais pela Universidade Federal do Rio Grande do Sul, Brasil(2017)",NA
Paulo Andre Lima de Castro ,Bolsista de Produtividade Desen. Tec. e Extensão Inovadora 2 | Orientador de Mestrado | Orientador de Doutorado,"Doutorado em Engenharia Elétrica pela Universidade de São Paulo, Brasil(2009)","Professor do Instituto Tecnológico de Aeronáutica , Brasil"
Carlo Emmanoel Tolla de Oliveira ,NA,"Doutorado em Computação pela University Of London, Grã-Bretanha(1991)",NA
Maria das Graças Volpe Nunes ,NA,"Doutorado em Informática pela Pontifícia Universidade Católica do Rio de Janeiro, Brasil(1991)","Professora Sênior da Universidade de São Paulo , Brasil"
Paulo Lilles Jorge Drews Junior ,NA,"Doutorado em Ciências da Computação pela Universidade Federal de Minas Gerais, Brasil(2016)","Professor Adjunto da Universidade Federal do Rio Grande , Brasil"
Gustavo Pessin ,Bolsista de Produtividade em Pesquisa 2,"Doutorado em Ciências da Computação e Matemática Computacional pela Universidade de São Paulo, Brasil(2013)","Professor Colaborador da Universidade Federal do Pará , Brasil"
Rita Maria da Silva Julia ,NA,"Doutorado em Recherche En Informatique pelo Université Toulouse III Paul Sabatier, França(1995)","Professor Titular da Universidade Federal de Uberlândia , Brasil"
Javam de Castro Machado ,NA,"Doutorado em Informática pelo Université Joseph Fourier - Grenoble I, França(1995)","Professor Titular da Universidade Federal do Ceará , Brasil"
Adelmo Luis Cechin ,NA,"Doutorado em Informatik pelo Eberhard Karls Universität Tübingen, Alemanha(1998)",NA
Ricardo Ribeiro Gudwin ,NA,"Doutorado em Engenharia Elétrica pela Universidade Estadual de Campinas, Brasil(1996)","Professor Associado da Universidade Estadual de Campinas , Brasil"
Aristófanes Corrêa Silva ,Bolsista de Produtividade em Pesquisa 2 | Orientador de Doutorado,"Doutorado em Informática pela Pontifícia Universidade Católica do Rio de Janeiro, Brasil(2004)","Professor adjunto da Universidade Federal do Maranhão , Brasil"
Ines de Castro Dutra ,NA,"Doutorado pela Bristol University, Inglaterra(1995)",NA
Rafael Ferreira Leite de Mello ,NA,"Doutorado em Ciências da Computação pela Universidade Federal de Pernambuco, Brasil(2015)","Professor Adjunto da Universidade Federal Rural de Pernambuco , Brasil"
Fabiano Azevedo Dorça ,NA,"Doutorado em Engenharia Elétrica pela Universidade Federal de Uberlândia, Brasil(2012)","Professor Adjunto da Universidade Federal de Uberlândia , Brasil"
Bruno José Torres Fernandes ,NA,"Doutorado em Ciências da Computação pela Universidade Federal de Pernambuco, Brasil(2013)","Professor adjunto da Universidade de Pernambuco , Brasil"
